,frameId,rect_x1,rect_y1,tect_x2,rect_y2
288,289,910,490,1010,590
289,290,910,490,1010,590
290,291,910,490,1010,590
291,292,910,490,1010,590
292,293,910,490,1010,590
293,294,910,490,1010,590
294,295,910,490,1010,590
295,296,910,490,1010,590
296,297,910,490,1010,590
297,298,910,490,1010,590
298,299,910,490,1010,590
299,300,910,490,1010,590
300,301,910,490,1010,590
301,302,910,490,1010,590
302,303,910,490,1010,590
303,304,910,490,1010,590
304,305,910,490,1010,590
305,306,910,490,1010,590
306,307,910,490,1010,590
307,308,910,490,1010,590
308,309,910,490,1010,590
309,310,910,490,1010,590
310,311,910,490,1010,590
311,312,910,490,1010,590
312,313,910,490,1010,590
313,314,910,490,1010,590
314,315,910,490,1010,590
315,316,910,490,1010,590
316,317,910,490,1010,590
317,318,910,490,1010,590
318,319,910,490,1010,590
319,320,910,490,1010,590
320,321,910,490,1010,590
321,322,910,490,1010,590
322,323,910,490,1010,590
323,324,910,490,1010,590
324,325,910,490,1010,590
325,326,910,490,1010,590
326,327,910,490,1010,590
327,328,910,490,1010,590
328,329,910,490,1010,590
329,330,910,490,1010,590
330,331,910,490,1010,590
331,332,910,490,1010,590
332,333,910,490,1010,590
333,334,910,490,1010,590
334,335,910,490,1010,590
335,336,910,490,1010,590
336,337,910,490,1010,590
337,338,910,490,1010,590
338,339,910,490,1010,590
339,340,910,490,1010,590
340,341,910,490,1010,590
341,342,910,490,1010,590
342,343,910,490,1010,590
343,344,910,490,1010,590
344,345,910,490,1010,590
345,346,910,490,1010,590
346,347,910,490,1010,590
347,348,910,490,1010,590
348,349,910,490,1010,590
349,350,910,490,1010,590
350,351,910,490,1010,590
351,352,910,490,1010,590
352,353,910,490,1010,590
353,354,910,490,1010,590
354,355,910,490,1010,590
355,356,910,490,1010,590
356,357,910,490,1010,590
357,358,910,490,1010,590
358,359,910,490,1010,590
359,360,910,490,1010,590
360,361,910,490,1010,590
361,362,910,490,1010,590
362,363,910,490,1010,590
363,364,910,490,1010,590
364,365,910,490,1010,590
365,366,910,490,1010,590
366,367,910,490,1010,590
367,368,910,490,1010,590
368,369,910,490,1010,590
369,370,910,490,1010,590
370,371,910,490,1010,590
371,372,910,490,1010,590
372,373,910,490,1010,590
373,374,910,490,1010,590
374,375,910,490,1010,590
375,376,910,490,1010,590
376,377,910,490,1010,590
377,378,910,490,1010,590
378,379,910,490,1010,590
379,380,910,490,1010,590
380,381,910,490,1010,590
381,382,910,490,1010,590
382,383,910,490,1010,590
383,384,910,490,1010,590
384,385,910,490,1010,590
385,386,910,490,1010,590
386,387,910,490,1010,590
387,388,910,490,1010,590
388,389,910,490,1010,590
389,390,910,490,1010,590
390,391,910,490,1010,590
391,392,910,490,1010,590
392,393,910,490,1010,590
393,394,910,490,1010,590
394,395,910,490,1010,590
395,396,910,490,1010,590
396,397,910,490,1010,590
397,398,910,490,1010,590
398,399,910,490,1010,590
399,400,910,490,1010,590
400,401,910,490,1010,590
401,402,910,490,1010,590
402,403,910,490,1010,590
403,404,910,490,1010,590
404,405,910,490,1010,590
405,406,910,490,1010,590
406,407,910,490,1010,590
407,408,910,490,1010,590
408,409,910,490,1010,590
409,410,910,490,1010,590
410,411,910,490,1010,590
411,412,910,490,1010,590
412,413,910,490,1010,590
413,414,910,490,1010,590
414,415,910,490,1010,590
415,416,910,490,1010,590
416,417,910,490,1010,590
417,418,910,490,1010,590
418,419,910,490,1010,590
419,420,910,490,1010,590
420,421,910,490,1010,590
421,422,910,490,1010,590
422,423,910,490,1010,590
423,424,910,490,1010,590
424,425,910,490,1010,590
425,426,910,490,1010,590
426,427,910,490,1010,590
427,428,910,490,1010,590
428,429,910,490,1010,590
429,430,910,490,1010,590
430,431,910,490,1010,590
431,432,910,490,1010,590
432,433,910,490,1010,590
433,434,910,490,1010,590
434,435,910,490,1010,590
435,436,910,490,1010,590
436,437,910,490,1010,590
437,438,910,490,1010,590
438,439,910,490,1010,590
439,440,910,490,1010,590
440,441,910,490,1010,590
441,442,910,490,1010,590
442,443,910,490,1010,590
443,444,910,490,1010,590
444,445,910,490,1010,590
445,446,910,490,1010,590
446,447,910,490,1010,590
447,448,910,490,1010,590
448,449,910,490,1010,590
449,450,910,490,1010,590
450,451,910,490,1010,590
451,452,910,490,1010,590
452,453,910,490,1010,590
453,454,910,490,1010,590
454,455,910,490,1010,590
455,456,910,490,1010,590
